round,train_logloss,val_pr_auc,time_s
681,0.1773,0.759,0.1
682,0.1772,0.7591,0.1
683,0.177,0.7592,0.1
684,0.1768,0.7593,0.1
685,0.1767,0.7594,0.1
686,0.1765,0.7594,0.1
687,0.1765,0.7595,0.1
688,0.1764,0.7595,0.1
689,0.1761,0.7597,0.1
690,0.176,0.7598,0.1
691,0.1758,0.7599,0.1
692,0.1757,0.76,0.1
693,0.1755,0.7602,0.1
694,0.1755,0.7602,0.1
695,0.1753,0.7604,0.1
696,0.1751,0.7605,0.1
697,0.1749,0.7608,0.1
698,0.1747,0.7613,0.1
699,0.1746,0.7614,0.1
700,0.1743,0.7615,0.1
701,0.1743,0.7616,0.1
702,0.1741,0.7617,0.1
703,0.1739,0.7618,0.1
704,0.1737,0.7619,0.1
705,0.1735,0.7622,0.1
706,0.1734,0.7622,0.1
707,0.1733,0.7624,0.1
708,0.1732,0.7624,0.1
709,0.173,0.7627,0.1
710,0.1727,0.7631,0.1
711,0.1727,0.7632,0.1
712,0.1726,0.7631,0.1
713,0.1725,0.7634,0.1
714,0.1724,0.7634,0.1
715,0.1722,0.7637,0.1
716,0.1721,0.7638,0.1
717,0.172,0.764,0.1
718,0.1719,0.764,0.1
719,0.1717,0.7641,0.1
720,0.1716,0.7643,0.1
721,0.1714,0.7643,0.1
722,0.1713,0.7644,0.1
723,0.1712,0.7646,0.1
724,0.171,0.7647,0.1
725,0.1709,0.765,0.1
726,0.1707,0.7653,0.1
727,0.1705,0.7656,0.1
728,0.1704,0.7658,0.1
729,0.1703,0.766,0.1
730,0.1702,0.7661,0.1
731,0.1701,0.7663,0.1
732,0.1699,0.7665,0.1
733,0.1699,0.7666,0.1
734,0.1698,0.7668,0.1
735,0.1697,0.7669,0.1
736,0.1697,0.7669,0.1
737,0.1696,0.7671,0.1
738,0.1695,0.7672,0.1
739,0.1694,0.7674,0.1
740,0.1693,0.7675,0.1
741,0.1692,0.7677,0.1
742,0.169,0.7679,0.1
743,0.1689,0.7681,0.1
744,0.1687,0.7682,0.1
745,0.1687,0.7683,0.1
746,0.1684,0.7685,0.1
747,0.1683,0.7687,0.1
748,0.1682,0.7688,0.1
749,0.1681,0.7688,0.1
750,0.168,0.7689,0.1
751,0.1677,0.769,0.1
752,0.1677,0.7692,0.1
753,0.1676,0.7693,0.1
754,0.1675,0.7693,0.1
755,0.1673,0.7693,0.1
756,0.1672,0.7694,0.1
757,0.1671,0.7695,0.1
758,0.1669,0.7698,0.1
759,0.1669,0.7699,0.1
760,0.1668,0.77,0.1
761,0.1667,0.7702,0.1
762,0.1665,0.7702,0.1
763,0.1663,0.7705,0.1
764,0.1663,0.7705,0.1
765,0.1661,0.7708,0.1
766,0.1659,0.7709,0.1
767,0.1659,0.771,0.1
768,0.1657,0.7712,0.1
769,0.1656,0.7714,0.1
770,0.1655,0.7714,0.1
771,0.1654,0.7716,0.1
772,0.1654,0.7717,0.1
773,0.1652,0.7718,0.1
774,0.165,0.772,0.1
775,0.1649,0.7722,0.1
776,0.1647,0.7722,0.1
777,0.1646,0.7722,0.1
778,0.1645,0.7724,0.1
779,0.1643,0.7725,0.1
780,0.1641,0.7726,0.1
781,0.1639,0.7727,0.1
782,0.1638,0.7727,0.1
783,0.1637,0.7729,0.1
784,0.1636,0.7731,0.1
785,0.1634,0.773,0.1
786,0.1632,0.7733,0.1
787,0.163,0.7736,0.1
788,0.1629,0.7737,0.1
789,0.1628,0.7738,0.1
790,0.1627,0.7738,0.1
791,0.1625,0.7741,0.1
792,0.1624,0.7741,0.1
793,0.1621,0.7745,0.1
794,0.162,0.7747,0.1
795,0.1618,0.775,0.1
796,0.1616,0.775,0.1
797,0.1614,0.7752,0.1
798,0.1613,0.7752,0.1
799,0.1611,0.7753,0.1
800,0.161,0.7754,0.1
801,0.1608,0.7755,0.1
802,0.1607,0.7758,0.1
803,0.1606,0.776,0.1
804,0.1605,0.7761,0.1
805,0.1604,0.7762,0.1
806,0.1602,0.7763,0.1
807,0.16,0.7763,0.1
808,0.16,0.7763,0.1
809,0.1597,0.7765,0.1
810,0.1597,0.7766,0.1
811,0.1596,0.7767,0.1
812,0.1595,0.7768,0.1
813,0.1593,0.777,0.1
814,0.1592,0.7772,0.1
815,0.1591,0.7773,0.1
816,0.159,0.7775,0.1
817,0.1589,0.7775,0.1
818,0.1586,0.7778,0.1
819,0.1585,0.7778,0.1
820,0.1584,0.7779,0.1
821,0.1583,0.7779,0.1
822,0.1581,0.7779,0.1
823,0.158,0.7781,0.1
824,0.1579,0.7783,0.1
825,0.1577,0.7785,0.1
826,0.1577,0.7785,0.1
827,0.1575,0.7787,0.1
828,0.1574,0.7787,0.1
829,0.1572,0.7789,0.1
830,0.1571,0.7789,0.1
831,0.157,0.7791,0.1
832,0.1568,0.7791,0.1
833,0.1567,0.779,0.1
834,0.1566,0.7792,0.1
835,0.1564,0.7794,0.1
836,0.1563,0.7795,0.1
837,0.1562,0.7794,0.1
838,0.1561,0.7794,0.1
839,0.1559,0.7797,0.1
840,0.1558,0.7799,0.1
841,0.1555,0.78,0.1
842,0.1554,0.7802,0.1
843,0.1552,0.7803,0.1
844,0.1551,0.7804,0.1
845,0.155,0.7805,0.1
846,0.1548,0.7808,0.1
847,0.1546,0.781,0.1
848,0.1545,0.781,0.1
849,0.1543,0.7811,0.1
850,0.1543,0.7813,0.1
