round,train_logloss,val_pr_auc,time_s
496,0.2101,0.7184,0.1
497,0.2099,0.7185,0.1
498,0.2097,0.7188,0.1
499,0.2096,0.7188,0.1
500,0.2094,0.7192,0.1
501,0.2092,0.7193,0.1
502,0.2089,0.7194,0.1
503,0.2087,0.7195,0.1
504,0.2086,0.7198,0.1
505,0.2084,0.7199,0.1
506,0.2083,0.72,0.1
507,0.2081,0.7202,0.1
508,0.2079,0.7205,0.1
509,0.2077,0.721,0.1
510,0.2076,0.7211,0.1
511,0.2074,0.7213,0.1
512,0.2072,0.7214,0.1
513,0.207,0.7214,0.1
514,0.2068,0.7216,0.1
515,0.2067,0.7218,0.1
516,0.2064,0.722,0.1
517,0.2062,0.722,0.1
518,0.206,0.7221,0.1
519,0.2059,0.7223,0.1
520,0.2055,0.7227,0.1
521,0.2053,0.7229,0.1
522,0.2052,0.723,0.1
523,0.2051,0.7232,0.1
524,0.2048,0.7233,0.1
525,0.2047,0.7236,0.1
526,0.2045,0.7236,0.1
527,0.2045,0.7237,0.1
528,0.2044,0.7238,0.1
529,0.2043,0.7238,0.1
530,0.2042,0.7239,0.1
531,0.2041,0.724,0.1
532,0.204,0.7241,0.1
533,0.204,0.7241,0.1
534,0.2037,0.7243,0.1
535,0.2036,0.7245,0.1
536,0.2035,0.7245,0.1
537,0.2032,0.7247,0.1
538,0.2031,0.7248,0.1
539,0.2029,0.7249,0.1
540,0.2027,0.7253,0.1
541,0.2024,0.7255,0.1
542,0.2023,0.7256,0.1
543,0.202,0.7257,0.1
544,0.2018,0.726,0.1
545,0.2017,0.7261,0.1
546,0.2015,0.7263,0.1
547,0.2013,0.7263,0.1
548,0.2012,0.7265,0.1
549,0.201,0.7266,0.1
550,0.2007,0.7269,0.1
551,0.2006,0.7272,0.1
552,0.2006,0.7273,0.1
553,0.2004,0.7274,0.1
554,0.2001,0.7277,0.1
555,0.2,0.7279,0.1
556,0.1998,0.7279,0.1
557,0.1996,0.7281,0.1
558,0.1994,0.7283,0.1
559,0.1992,0.7284,0.1
560,0.199,0.7287,0.1
